Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CENTROID_NOT_SPECIFIED,CHECK_PRICES,COPYRIGHT,DATASHEET,DESCRIPTION,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HEIGHT,LEAD_FREE,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,PACKAGE,POPULARITY,PREFIX,PRICE,PROD_ID,PURCHASE-URL,ROHS,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,TP_SIGNAL_NAME,VALUE
1,,ADAFRUIT_LEDCHIP-LED0603,ADAFRUIT_CHIP-LED0603,CHG_LED,LED,,,,,,,https://www.vishay.com/doc?82437,,,,,,,,,,,https://ro.mouser.com/ProductDetail/Vishay-Semiconductors/VLMY1301-GS08?qs=sGAEpiMZZMusoohG2hS%252B168PbK3WnfgfiGSE4pxVBaDPiKIho6Ieew%3D%3D,,,,,,,,,,,,,,,,,,
1,,SJ,SJ,SJ1,"SMD solder JUMPER",,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
1,0.47,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R15,"RESISTOR, European symbol",,,,,,,https://www.vishay.com/doc?20035,,,,,,,,,,,https://ro.mouser.com/ProductDetail/Vishay-Dale/CRCW040240K2FKED?qs=rzhQWu8UUS3g49JmcwYN7w%3D%3D&utm_id=20109199409&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=EAIaIQobChMI4vv9kZaojAMV7YKDBx2W9Ae5EAAYAiAAEgK9cfD_BwE,,,,,,,,,,,,,NONE,R,,,,
1,100K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R21,"RESISTOR, European symbol",,,,,,,https://www.vishay.com/doc?20035,,,,,,,,,,https://eu.mouser.com/ProductDetail/Vishay-Dale/CRCW040240K2FKED?qs=rzhQWu8UUS3g49JmcwYN7w%3D%3D&utm_id=20109199409&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=EAIaIQobChMI4vv9kZaojAMV7YKDBx2W9Ae5EAAYAiAAEgK9cfD_BwE,,,,,,,,,,,,,,NONE,R,,,,
7,100nF,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,"C3, C4, C5, C9, C18, C19, C_DELAY","CAPACITOR, European symbol",,,,,,,https://ro.mouser.com/datasheet/2/447/KEM_C1006_X5R_SMD-3316465.pdf,,,,,,,,,,,https://ro.mouser.com/ProductDetail/KEMET/C0402C475K8PACTU?qs=sGAEpiMZZMsh%252B1woXyUXj%252BeMYF%2FJh1ZHWLnD7xub%252BoY%3D,,,,,,,,,,,,,NONE,C,,,,
2,100nF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"C24, C25","CAPACITOR, European symbol",,,,,,,https://ro.mouser.com/datasheet/2/447/KEM_C1006_X5R_SMD-3316465.pdf,,,,,,,,,,,https://ro.mouser.com/ProductDetail/KEMET/C0402C475K8PACTU?qs=sGAEpiMZZMsh%252B1woXyUXj%252BeMYF%2FJh1ZHWLnD7xub%252BoY%3D,,,,,,,,,,,,,NONE,C,,,,
1,100uF,RCL_CPOL-EUCT3528,RCL_CT3528,C28,"POLARIZED CAPACITOR, European symbol",,,,,,,https://ro.mouser.com/datasheet/2/447/KEM_T2073_T59X-3316825.pdf,,,,,,,,,,,https://ro.mouser.com/ProductDetail/KEMET/T598B335M035ATE150?qs=sGAEpiMZZMsh%252B1woXyUXj9kQnrMN1UR3%252B%2FX%2FiUkAw%2Fg%3D,,,,,,0,,,,,,,,C,,,,
1,10K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R14,"RESISTOR, European symbol",,,,,,,https://www.vishay.com/doc?20035,,,,,,,,,,,https://ro.mouser.com/ProductDetail/Vishay-Dale/CRCW040240K2FKED?qs=rzhQWu8UUS3g49JmcwYN7w%3D%3D&utm_id=20109199409&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=EAIaIQobChMI4vv9kZaojAMV7YKDBx2W9Ae5EAAYAiAAEgK9cfD_BwE,,,,,,,,,,,,,NONE,R,,,,
12,10K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,"R1, R1_PINH1, R2, R2_PINH1, R3, R5, R6, R7, R8, R10, R11, R17","RESISTOR, European symbol",,,,,,,https://www.vishay.com/doc?20035,,,,,,,,,,https://eu.mouser.com/ProductDetail/Vishay-Dale/CRCW040240K2FKED?qs=rzhQWu8UUS3g49JmcwYN7w%3D%3D&utm_id=20109199409&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=EAIaIQobChMI4vv9kZaojAMV7YKDBx2W9Ae5EAAYAiAAEgK9cfD_BwE,,,,,,,,,,,,,,NONE,R,,,,
3,10k,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,"R_BOOT, R_CHANGE, R_RESET","RESISTOR, European symbol",,,,,,,https://www.vishay.com/doc?20035,,,,,,,,,,https://eu.mouser.com/ProductDetail/Vishay-Dale/CRCW040240K2FKED?qs=rzhQWu8UUS3g49JmcwYN7w%3D%3D&utm_id=20109199409&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=EAIaIQobChMI4vv9kZaojAMV7YKDBx2W9Ae5EAAYAiAAEgK9cfD_BwE,,,,,,,,,,,,,,NONE,R,,,,
